nickname,player_details,final_score,show_info,full_name,occupation,hometown,archive_info,date
Jordan,"Jordan Skidmore, a chef from Dublin, California",$400,"J! Archive - Show #7898, aired 2019-01-02",Jordan Skidmore,a chef,"Dublin, California",J! Archive - Show #7898,2019-01-02
Kevin,"Kevin Patterson, a management consultant from Cambridge, Massachusetts (whose 1-day cash winnings total $20,001)","$4,000","J! Archive - Show #7897, aired 2019-01-01",Kevin Patterson,a management consultant,"Cambridge, Massachusetts",J! Archive - Show #7897,2019-01-01
Maggie,"Maggie Byrd, a communications professional from Arlington, Virginia","$7,000","J! Archive - Show #7897, aired 2019-01-01",Maggie Byrd,a communications professional,"Arlington, Virginia",J! Archive - Show #7897,2019-01-01
Jonathan,"Jonathan Dinerstein, a composer from Los Angeles, California","$16,500","J! Archive - Show #7897, aired 2019-01-01",Jonathan Dinerstein,a composer,"Los Angeles, California",J! Archive - Show #7897,2019-01-01
James,"James Rodrigues, a filmmaker from New York, New York (whose 1-day cash winnings total $27,400)",$0,"J! Archive - Show #7896, aired 2018-12-31",James Rodrigues,a filmmaker,"New York, New York",J! Archive - Show #7896,2018-12-31
Kevin,"Kevin Patterson, a management consultant from Cambridge, Massachusetts","$20,001","J! Archive - Show #7896, aired 2018-12-31",Kevin Patterson,a management consultant,"Cambridge, Massachusetts",J! Archive - Show #7896,2018-12-31
Jan,"Jan Corsetty, a database administrator from North Potomac, Maryland",$0,"J! Archive - Show #7896, aired 2018-12-31",Jan Corsetty,a database administrator,"North Potomac, Maryland",J! Archive - Show #7896,2018-12-31
Kathryn,"Kathryn Kienholz, a retired CPA from Milltown, Wisconsin (whose 1-day cash winnings total $22,000)",$1,"J! Archive - Show #7895, aired 2018-12-28",Kathryn Kienholz,a retired CPA,"Milltown, Wisconsin",J! Archive - Show #7895,2018-12-28
Greg,"Greg Frost, a communications director from San Diego, California","$5,000","J! Archive - Show #7895, aired 2018-12-28",Greg Frost,a communications director,"San Diego, California",J! Archive - Show #7895,2018-12-28
James,"James Rodrigues, a filmmaker from New York, New York","$27,400","J! Archive - Show #7895, aired 2018-12-28",James Rodrigues,a filmmaker,"New York, New York",J! Archive - Show #7895,2018-12-28
Jon,"Jon Barber, an investment professional from San Francisco, California (whose 1-day cash winnings total $19,999)","$4,400","J! Archive - Show #7894, aired 2018-12-27",Jon Barber,an investment professional,"San Francisco, California",J! Archive - Show #7894,2018-12-27
Heath,"Heath Herel, a ScrumMaster from Niantic, Connecticut","$15,000","J! Archive - Show #7894, aired 2018-12-27",Heath Herel,a ScrumMaster,"Niantic, Connecticut",J! Archive - Show #7894,2018-12-27
Kathryn,"Kathryn Kienholz, a retired CPA from Milltown, Wisconsin","$22,000","J! Archive - Show #7894, aired 2018-12-27",Kathryn Kienholz,a retired CPA,"Milltown, Wisconsin",J! Archive - Show #7894,2018-12-27
Richard,"Richard Koehler, a data scientist from Wilmington, Delaware (whose 1-day cash winnings total $18,001)","$16,400","J! Archive - Show #7893, aired 2018-12-26",Richard Koehler,a data scientist,"Wilmington, Delaware",J! Archive - Show #7893,2018-12-26
Jon,"Jon Barber, an investment professional from San Francisco, California","$19,999","J! Archive - Show #7893, aired 2018-12-26",Jon Barber,an investment professional,"San Francisco, California",J! Archive - Show #7893,2018-12-26
DeAnn,"DeAnn Hale, a stay-at-home mom from Eagle Mountain, Utah",$2,"J! Archive - Show #7893, aired 2018-12-26",DeAnn Hale,a stay-at-home mom,"Eagle Mountain, Utah",J! Archive - Show #7893,2018-12-26
Charbel,"Charbel Barakat, an attorney from Tampa, Florida (whose 1-day cash winnings total $30,700)","$18,000","J! Archive - Show #7892, aired 2018-12-25",Charbel Barakat,an attorney,"Tampa, Florida",J! Archive - Show #7892,2018-12-25
Lanier,"Lanier Heyburn, a neuroscientist from Bethesda, Maryland","$6,700","J! Archive - Show #7892, aired 2018-12-25",Lanier Heyburn,a neuroscientist,"Bethesda, Maryland",J! Archive - Show #7892,2018-12-25
Richard,"Richard Koehler, a data scientist from Wilmington, Delaware","$18,001","J! Archive - Show #7892, aired 2018-12-25",Richard Koehler,a data scientist,"Wilmington, Delaware",J! Archive - Show #7892,2018-12-25
Graham,"Graham Fulton III, a musician and research engineering assistant from Ellington, Connecticut (whose 1-day cash winnings total $22,200)","$18,000","J! Archive - Show #7891, aired 2018-12-24",Graham Fulton III,a musician and research engineering assistant,"Ellington, Connecticut",J! Archive - Show #7891,2018-12-24
Nicole,"Nicole Neroulias Gupte, a nonprofit communications consultant from Seattle, Washington","$18,000","J! Archive - Show #7891, aired 2018-12-24",Nicole Neroulias Gupte,a nonprofit communications consultant,"Seattle, Washington",J! Archive - Show #7891,2018-12-24
Charbel,"Charbel Barakat, an attorney from Tampa, Florida","$30,700","J! Archive - Show #7891, aired 2018-12-24",Charbel Barakat,an attorney,"Tampa, Florida",J! Archive - Show #7891,2018-12-24
Andrew,"Andrew Kung, a graduate student from San Francisco, California (whose 1-day cash winnings total $21,000)","$6,399","J! Archive - Show #7890, aired 2018-12-21",Andrew Kung,a graduate student,"San Francisco, California",J! Archive - Show #7890,2018-12-21
Ellie,"Ellie Jostad, a journalist from Brooklyn, New York","-$2,000","J! Archive - Show #7890, aired 2018-12-21",Ellie Jostad,a journalist,"Brooklyn, New York",J! Archive - Show #7890,2018-12-21
Graham,"Graham Fulton III, a musician and research engineering assistant from Ellington, Connecticut","$22,200","J! Archive - Show #7890, aired 2018-12-21",Graham Fulton III,a musician and research engineering assistant,"Ellington, Connecticut",J! Archive - Show #7890,2018-12-21
Jackie,"Jackie Fuchs, an attorney and writer from Los Angeles, California (whose 4-day cash winnings total $87,089)",$0,"J! Archive - Show #7889, aired 2018-12-20",Jackie Fuchs,an attorney and writer,"Los Angeles, California",J! Archive - Show #7889,2018-12-20
Carrie,"Carrie Blazina, a multiplatform copy editor from Cambridge, Massachusetts",$1,"J! Archive - Show #7889, aired 2018-12-20",Carrie Blazina,a multiplatform copy editor,"Cambridge, Massachusetts",J! Archive - Show #7889,2018-12-20
Andrew,"Andrew Kung, a graduate student from San Francisco, California","$21,000","J! Archive - Show #7889, aired 2018-12-20",Andrew Kung,a graduate student,"San Francisco, California",J! Archive - Show #7889,2018-12-20
Jackie,"Jackie Fuchs, an attorney and writer from Los Angeles, California (whose 3-day cash winnings total $58,689)","$28,400","J! Archive - Show #7888, aired 2018-12-19",Jackie Fuchs,an attorney and writer,"Los Angeles, California",J! Archive - Show #7888,2018-12-19
Eric,"Eric Doctor, a graphic designer and teacher from Brooklyn, New York","$2,001","J! Archive - Show #7888, aired 2018-12-19",Eric Doctor,a graphic designer and teacher,"Brooklyn, New York",J! Archive - Show #7888,2018-12-19
Trisha,"Trisha Eustaquio, a biomedical engineer from Silver Spring, Maryland","$26,799","J! Archive - Show #7888, aired 2018-12-19",Trisha Eustaquio,a biomedical engineer,"Silver Spring, Maryland",J! Archive - Show #7888,2018-12-19
Jackie,"Jackie Fuchs, an attorney and writer from Los Angeles, California (whose 2-day cash winnings total $34,089)","$24,600","J! Archive - Show #7887, aired 2018-12-18",Jackie Fuchs,an attorney and writer,"Los Angeles, California",J! Archive - Show #7887,2018-12-18
Conor,"Conor McMahon, a museum curator from Rapid City, South Dakota","$24,000","J! Archive - Show #7887, aired 2018-12-18",Conor McMahon,a museum curator,"Rapid City, South Dakota",J! Archive - Show #7887,2018-12-18
Anne,"Anne Cushman, a flight attendant from Denton, Texas",$1,"J! Archive - Show #7887, aired 2018-12-18",Anne Cushman,a flight attendant,"Denton, Texas",J! Archive - Show #7887,2018-12-18
Jackie,"Jackie Fuchs, an attorney and writer from Los Angeles, California (whose 1-day cash winnings total $14,200)","$19,889","J! Archive - Show #7886, aired 2018-12-17",Jackie Fuchs,an attorney and writer,"Los Angeles, California",J! Archive - Show #7886,2018-12-17
Alex,"Alex Cervenak, a historical interpreter from Hamtramck, Michigan","$2,800","J! Archive - Show #7886, aired 2018-12-17",Alex Cervenak,a historical interpreter,"Hamtramck, Michigan",J! Archive - Show #7886,2018-12-17
Josh,"Josh Demby, a real estate agent from Denver, Colorado","$17,000","J! Archive - Show #7886, aired 2018-12-17",Josh Demby,a real estate agent,"Denver, Colorado",J! Archive - Show #7886,2018-12-17
Faris,"Faris Alikhan, a speechwriter from Atlanta, Georgia (whose 1-day cash winnings total $22,700)","$10,800","J! Archive - Show #7885, aired 2018-12-14",Faris Alikhan,a speechwriter,"Atlanta, Georgia",J! Archive - Show #7885,2018-12-14
Jackie,"Jackie Fuchs, an attorney and writer from Los Angeles, California","$14,200","J! Archive - Show #7885, aired 2018-12-14",Jackie Fuchs,an attorney and writer,"Los Angeles, California",J! Archive - Show #7885,2018-12-14
Noah,"Noah Link, an organic farmer from Detroit, Michigan","$11,111","J! Archive - Show #7885, aired 2018-12-14",Noah Link,an organic farmer,"Detroit, Michigan",J! Archive - Show #7885,2018-12-14
Elana,"Elana Schor, a journalist from Washington, D.C. (whose 1-day cash winnings total $23,601)","$21,600","J! Archive - Show #7884, aired 2018-12-13",Elana Schor,a journalist,"Washington, D.C.",J! Archive - Show #7884,2018-12-13
Faris,"Faris Alikhan, a speechwriter from Atlanta, Georgia","$22,700","J! Archive - Show #7884, aired 2018-12-13",Faris Alikhan,a speechwriter,"Atlanta, Georgia",J! Archive - Show #7884,2018-12-13
Mary Kate,"Mary Kate Moriarty, a dentist from Dumfries, Virginia",-$400,"J! Archive - Show #7884, aired 2018-12-13",Mary Kate Moriarty,a dentist,"Dumfries, Virginia",J! Archive - Show #7884,2018-12-13
Nicole,"Nicole Cocklin, a travel agent from Fort Wayne, Indiana (whose 1-day cash winnings total $20,001)","$7,600","J! Archive - Show #7883, aired 2018-12-12",Nicole Cocklin,a travel agent,"Fort Wayne, Indiana",J! Archive - Show #7883,2018-12-12
Andy,"Andy Greeley, an elections administrator from Seattle, Washington","$15,999","J! Archive - Show #7883, aired 2018-12-12",Andy Greeley,an elections administrator,"Seattle, Washington",J! Archive - Show #7883,2018-12-12
Elana,"Elana Schor, a journalist from Washington, D.C.","$23,601","J! Archive - Show #7883, aired 2018-12-12",Elana Schor,a journalist,"Washington, D.C.",J! Archive - Show #7883,2018-12-12
Francesco,"Francesco Caporusso, a technical support analyst from Lititz, Pennsylvania (whose 1-day cash winnings total $24,801)","$19,500","J! Archive - Show #7882, aired 2018-12-11",Francesco Caporusso,a technical support analyst,"Lititz, Pennsylvania",J! Archive - Show #7882,2018-12-11
Nicole,"Nicole Cocklin, a travel agent from Fort Wayne, Indiana","$20,001","J! Archive - Show #7882, aired 2018-12-11",Nicole Cocklin,a travel agent,"Fort Wayne, Indiana",J! Archive - Show #7882,2018-12-11
John,"John Henning Schumann, a physician from Tulsa, Oklahoma","$7,999","J! Archive - Show #7882, aired 2018-12-11",John Henning Schumann,a physician,"Tulsa, Oklahoma",J! Archive - Show #7882,2018-12-11
Staci,"Staci Huffman, a certified public accountant from Nine Mile Falls, Washington (whose 1-day cash winnings total $29,201)","$4,500","J! Archive - Show #7881, aired 2018-12-10",Staci Huffman,a certified public accountant,"Nine Mile Falls, Washington",J! Archive - Show #7881,2018-12-10
Swetha,"Swetha Dravida, an M.D.-Ph.D. student from New Haven, Connecticut","$10,200","J! Archive - Show #7881, aired 2018-12-10",Swetha Dravida,an M.D.-Ph.D. student,"New Haven, Connecticut",J! Archive - Show #7881,2018-12-10
Francesco,"Francesco Caporusso, a technical support analyst from Lititz, Pennsylvania","$24,801","J! Archive - Show #7881, aired 2018-12-10",Francesco Caporusso,a technical support analyst,"Lititz, Pennsylvania",J! Archive - Show #7881,2018-12-10
Dave,"Dave Leffler, a retired police officer from Pittsburgh, Pennsylvania (whose 4-day cash winnings total $100,102)",$0,"J! Archive - Show #7880, aired 2018-12-07",Dave Leffler,a retired police officer,"Pittsburgh, Pennsylvania",J! Archive - Show #7880,2018-12-07
Staci,"Staci Huffman, a certified public accountant from Nine Mile Falls, Washington","$29,201","J! Archive - Show #7880, aired 2018-12-07",Staci Huffman,a certified public accountant,"Nine Mile Falls, Washington",J! Archive - Show #7880,2018-12-07
Nick,"Nick Wawrykow, a graduate student from Ann Arbor, Michigan","$21,201","J! Archive - Show #7880, aired 2018-12-07",Nick Wawrykow,a graduate student,"Ann Arbor, Michigan",J! Archive - Show #7880,2018-12-07
Dave,"Dave Leffler, a retired police officer from Pittsburgh, Pennsylvania (whose 3-day cash winnings total $81,202)","$18,900","J! Archive - Show #7879, aired 2018-12-06",Dave Leffler,a retired police officer,"Pittsburgh, Pennsylvania",J! Archive - Show #7879,2018-12-06
Samir,"Samir Patel, an anesthesiologist from Chicago, Illinois","$7,401","J! Archive - Show #7879, aired 2018-12-06",Samir Patel,an anesthesiologist,"Chicago, Illinois",J! Archive - Show #7879,2018-12-06
Pat,"Pat Berwick, a retired technical editor from Houston, Texas","$7,099","J! Archive - Show #7879, aired 2018-12-06",Pat Berwick,a retired technical editor,"Houston, Texas",J! Archive - Show #7879,2018-12-06
Dave,"Dave Leffler, a retired police officer from Pittsburgh, Pennsylvania (whose 2-day cash winnings total $53,601)","$27,601","J! Archive - Show #7878, aired 2018-12-05",Dave Leffler,a retired police officer,"Pittsburgh, Pennsylvania",J! Archive - Show #7878,2018-12-05
Amy,"Amy David, a professor of management from Lafayette, Indiana","$2,600","J! Archive - Show #7878, aired 2018-12-05",Amy David,a professor of management,"Lafayette, Indiana",J! Archive - Show #7878,2018-12-05
Brian,"Brian Panulla, a software engineer from Portland, Oregon","$21,501","J! Archive - Show #7878, aired 2018-12-05",Brian Panulla,a software engineer,"Portland, Oregon",J! Archive - Show #7878,2018-12-05
Dave,"Dave Leffler, a retired police officer from Pittsburgh, Pennsylvania (whose 1-day cash winnings total $33,801)","$19,800","J! Archive - Show #7877, aired 2018-12-04",Dave Leffler,a retired police officer,"Pittsburgh, Pennsylvania",J! Archive - Show #7877,2018-12-04
Alexander,"Alexander Schwab, an attorney from Los Angeles, California","$8,900","J! Archive - Show #7877, aired 2018-12-04",Alexander Schwab,an attorney,"Los Angeles, California",J! Archive - Show #7877,2018-12-04
Tiffany,"Tiffany Brooks, a writer from Norman, Oklahoma",$0,"J! Archive - Show #7877, aired 2018-12-04",Tiffany Brooks,a writer,"Norman, Oklahoma",J! Archive - Show #7877,2018-12-04
Elizabeth,"Elizabeth Goss, a housewife from Pleasant Ridge, Michigan (whose 1-day cash winnings total $4,799)","$28,199","J! Archive - Show #7876, aired 2018-12-03",Elizabeth Goss,a housewife,"Pleasant Ridge, Michigan",J! Archive - Show #7876,2018-12-03
Dave,"Dave Leffler, a retired police officer from Pittsburgh, Pennsylvania","$33,801","J! Archive - Show #7876, aired 2018-12-03",Dave Leffler,a retired police officer,"Pittsburgh, Pennsylvania",J! Archive - Show #7876,2018-12-03
Bernadette,"Bernadette Nguyen, an attorney from Mechanicsville, Maryland","$3,199","J! Archive - Show #7876, aired 2018-12-03",Bernadette Nguyen,an attorney,"Mechanicsville, Maryland",J! Archive - Show #7876,2018-12-03
Adriana,"Adriana Ciccone, a data scientist from San Francisco, California (whose 2-day cash winnings total $35,601)","$2,599","J! Archive - Show #7875, aired 2018-11-30",Adriana Ciccone,a data scientist,"San Francisco, California",J! Archive - Show #7875,2018-11-30
Elizabeth,"Elizabeth Goss, a housewife from Pleasant Ridge, Michigan","$4,799","J! Archive - Show #7875, aired 2018-11-30",Elizabeth Goss,a housewife,"Pleasant Ridge, Michigan",J! Archive - Show #7875,2018-11-30
Ben,"Ben Goldstein, an attorney from Los Angeles, California","$1,400","J! Archive - Show #7875, aired 2018-11-30",Ben Goldstein,an attorney,"Los Angeles, California",J! Archive - Show #7875,2018-11-30
Adriana,"Adriana Ciccone, a data scientist from San Francisco, California (whose 1-day cash winnings total $30,401)","$5,200","J! Archive - Show #7874, aired 2018-11-29",Adriana Ciccone,a data scientist,"San Francisco, California",J! Archive - Show #7874,2018-11-29
Chris,"Chris Williams, a consultant from New York, New York",$2,"J! Archive - Show #7874, aired 2018-11-29",Chris Williams,a consultant,"New York, New York",J! Archive - Show #7874,2018-11-29
Phil,"Phil Tompkins, a portable restroom service technician from Hammond, Indiana","$3,599","J! Archive - Show #7874, aired 2018-11-29",Phil Tompkins,a portable restroom service technician,"Hammond, Indiana",J! Archive - Show #7874,2018-11-29
Dylan,"Dylan Hamilton, a pediatric dentist from Durham, North Carolina (whose 2-day cash winnings total $25,598)",-$800,"J! Archive - Show #7873, aired 2018-11-28",Dylan Hamilton,a pediatric dentist,"Durham, North Carolina",J! Archive - Show #7873,2018-11-28
Andrew,"Andrew Miller, a law clerk from Chicago, Illinois","$18,200","J! Archive - Show #7873, aired 2018-11-28",Andrew Miller,a law clerk,"Chicago, Illinois",J! Archive - Show #7873,2018-11-28
Adriana,"Adriana Ciccone, a data scientist from San Francisco, California","$30,401","J! Archive - Show #7873, aired 2018-11-28",Adriana Ciccone,a data scientist,"San Francisco, California",J! Archive - Show #7873,2018-11-28
Dylan,"Dylan Hamilton, a pediatric dentist from Durham, North Carolina (whose 1-day cash winnings total $9,199)","$16,399","J! Archive - Show #7872, aired 2018-11-27",Dylan Hamilton,a pediatric dentist,"Durham, North Carolina",J! Archive - Show #7872,2018-11-27
Carol,"Carol Radlo, a family practice physician from Sammamish, Washington","$5,900","J! Archive - Show #7872, aired 2018-11-27",Carol Radlo,a family practice physician,"Sammamish, Washington",J! Archive - Show #7872,2018-11-27
Myra,"Myra Guideng, a wine club concierge from Seattle, Washington",$0,"J! Archive - Show #7872, aired 2018-11-27",Myra Guideng,a wine club concierge,"Seattle, Washington",J! Archive - Show #7872,2018-11-27
J,"J Cheema, a marketing and strategy consultant from Portland, Oregon (whose 1-day cash winnings total $28,000)",$0,"J! Archive - Show #7871, aired 2018-11-26",J Cheema,a marketing and strategy consultant,"Portland, Oregon",J! Archive - Show #7871,2018-11-26
Dylan,"Dylan Hamilton, a pediatric dentist from Durham, North Carolina","$9,199","J! Archive - Show #7871, aired 2018-11-26",Dylan Hamilton,a pediatric dentist,"Durham, North Carolina",J! Archive - Show #7871,2018-11-26
Bridget,"Bridget Sullivan, a telemetry technician from Butte, Montana","$1,242","J! Archive - Show #7871, aired 2018-11-26",Bridget Sullivan,a telemetry technician,"Butte, Montana",J! Archive - Show #7871,2018-11-26
Mary Ann,"Mary Ann Borer, a marketing coordinator from Pomona, California (whose 4-day cash winnings total $86,500)","$16,200","J! Archive - Show #7870, aired 2018-11-23",Mary Ann Borer,a marketing coordinator,"Pomona, California",J! Archive - Show #7870,2018-11-23
Jennifer,"Jennifer Hoosier, a university administrator from Tucker, Georgia","$6,400","J! Archive - Show #7870, aired 2018-11-23",Jennifer Hoosier,a university administrator,"Tucker, Georgia",J! Archive - Show #7870,2018-11-23
J,"J Cheema, a marketing and strategy consultant from Portland, Oregon","$28,000","J! Archive - Show #7870, aired 2018-11-23",J Cheema,a marketing and strategy consultant,"Portland, Oregon",J! Archive - Show #7870,2018-11-23
Mary Ann,"Mary Ann Borer, a marketing coordinator from Pomona, California (whose 3-day cash winnings total $67,800)","$18,700","J! Archive - Show #7869, aired 2018-11-22",Mary Ann Borer,a marketing coordinator,"Pomona, California",J! Archive - Show #7869,2018-11-22
Terrie,"Terrie Vasilopoulos, an assistant professor from Gainesville, Florida","$8,200","J! Archive - Show #7869, aired 2018-11-22",Terrie Vasilopoulos,an assistant professor,"Gainesville, Florida",J! Archive - Show #7869,2018-11-22
David,"David Trachtenberg, a science teacher from Sherman Oaks, California",$0,"J! Archive - Show #7869, aired 2018-11-22",David Trachtenberg,a science teacher,"Sherman Oaks, California",J! Archive - Show #7869,2018-11-22
Mary Ann,"Mary Ann Borer, a marketing coordinator from Pomona, California (whose 2-day cash winnings total $53,400)","$14,400","J! Archive - Show #7868, aired 2018-11-21",Mary Ann Borer,a marketing coordinator,"Pomona, California",J! Archive - Show #7868,2018-11-21
Casey,"Casey Amspacher, a senior data engineer from Brooklyn, New York","$9,599","J! Archive - Show #7868, aired 2018-11-21",Casey Amspacher,a senior data engineer,"Brooklyn, New York",J! Archive - Show #7868,2018-11-21
Abby,"Abby Roughton, a lawyer from Boston, Massachusetts",$10,"J! Archive - Show #7868, aired 2018-11-21",Abby Roughton,a lawyer,"Boston, Massachusetts",J! Archive - Show #7868,2018-11-21
Emma,"Emma Arnold, a junior from Owings Mills, Maryland (subtotal of $19,000)",$0,"J! Archive - Show #7867, aired 2018-11-20",Emma Arnold,a junior,"Owings Mills, Maryland",J! Archive - Show #7867,2018-11-20
Claire,"Claire Sattler, a senior from Bonita Springs, Florida (subtotal of $21,800)","$16,400","J! Archive - Show #7867, aired 2018-11-20",Claire Sattler,a senior,"Bonita Springs, Florida",J! Archive - Show #7867,2018-11-20
Maya,"Maya Wright, a senior from Peachtree City, Georgia (subtotal of $7,800)","$2,600","J! Archive - Show #7867, aired 2018-11-20",Maya Wright,a senior,"Peachtree City, Georgia",J! Archive - Show #7867,2018-11-20
Emma,"Emma Arnold, a junior from Owings Mills, Maryland","$19,000","J! Archive - Show #7866, aired 2018-11-19",Emma Arnold,a junior,"Owings Mills, Maryland",J! Archive - Show #7866,2018-11-19
Claire,"Claire Sattler, a senior from Bonita Springs, Florida","$21,800","J! Archive - Show #7866, aired 2018-11-19",Claire Sattler,a senior,"Bonita Springs, Florida",J! Archive - Show #7866,2018-11-19
Maya,"Maya Wright, a senior from Peachtree City, Georgia","$7,800","J! Archive - Show #7866, aired 2018-11-19",Maya Wright,a senior,"Peachtree City, Georgia",J! Archive - Show #7866,2018-11-19
Audrey,"Audrey Satchivi, a senior from Carmel, Indiana",$0,"J! Archive - Show #7865, aired 2018-11-16",Audrey Satchivi,a senior,"Carmel, Indiana",J! Archive - Show #7865,2018-11-16
Emma,"Emma Arnold, a junior from Owings Mills, Maryland","$30,001","J! Archive - Show #7865, aired 2018-11-16",Emma Arnold,a junior,"Owings Mills, Maryland",J! Archive - Show #7865,2018-11-16
Rohan,"Rohan Kapileshwari, a senior from Winston-Salem, North Carolina",$2,"J! Archive - Show #7865, aired 2018-11-16",Rohan Kapileshwari,a senior,"Winston-Salem, North Carolina",J! Archive - Show #7865,2018-11-16
Maya,"Maya Wright, a senior from Peachtree City, Georgia","$25,600","J! Archive - Show #7864, aired 2018-11-15",Maya Wright,a senior,"Peachtree City, Georgia",J! Archive - Show #7864,2018-11-15
Caleb,"Caleb Richmond, a sophomore from Bedford, New Hampshire","$5,599","J! Archive - Show #7864, aired 2018-11-15",Caleb Richmond,a sophomore,"Bedford, New Hampshire",J! Archive - Show #7864,2018-11-15
Jack,"Jack Izzo, a senior from San Diego, California",$16,"J! Archive - Show #7864, aired 2018-11-15",Jack Izzo,a senior,"San Diego, California",J! Archive - Show #7864,2018-11-15
Tim,"Tim Cho, a senior from Champaign, Illinois","$26,800","J! Archive - Show #7863, aired 2018-11-14",Tim Cho,a senior,"Champaign, Illinois",J! Archive - Show #7863,2018-11-14
Autumn,"Autumn Shelton, a junior from Lamar, Missouri","$23,199","J! Archive - Show #7863, aired 2018-11-14",Autumn Shelton,a junior,"Lamar, Missouri",J! Archive - Show #7863,2018-11-14
Claire,"Claire Sattler, a senior from Bonita Springs, Florida","$26,801","J! Archive - Show #7863, aired 2018-11-14",Claire Sattler,a senior,"Bonita Springs, Florida",J! Archive - Show #7863,2018-11-14
Maggie,"Maggie Brown, a sophomore from Pensacola, Florida",$299,"J! Archive - Show #7862, aired 2018-11-13",Maggie Brown,a sophomore,"Pensacola, Florida",J! Archive - Show #7862,2018-11-13
Rohan,"Rohan Kapileshwari, a senior from Winston-Salem, North Carolina","$11,900","J! Archive - Show #7862, aired 2018-11-13",Rohan Kapileshwari,a senior,"Winston-Salem, North Carolina",J! Archive - Show #7862,2018-11-13
Autumn,"Autumn Shelton, a junior from Lamar, Missouri","$19,600","J! Archive - Show #7862, aired 2018-11-13",Autumn Shelton,a junior,"Lamar, Missouri",J! Archive - Show #7862,2018-11-13
Tim,"Tim Cho, a senior from Champaign, Illinois","$33,601","J! Archive - Show #7861, aired 2018-11-12",Tim Cho,a senior,"Champaign, Illinois",J! Archive - Show #7861,2018-11-12
Jack,"Jack Izzo, a senior from San Diego, California","$18,000","J! Archive - Show #7861, aired 2018-11-12",Jack Izzo,a senior,"San Diego, California",J! Archive - Show #7861,2018-11-12
Rhea,"Rhea Sinha, a senior from Chatham, New Jersey","$6,800","J! Archive - Show #7861, aired 2018-11-12",Rhea Sinha,a senior,"Chatham, New Jersey",J! Archive - Show #7861,2018-11-12
Dan,"Dan Oxman, a senior from South Orange, New Jersey","-$2,400","J! Archive - Show #7860, aired 2018-11-09",Dan Oxman,a senior,"South Orange, New Jersey",J! Archive - Show #7860,2018-11-09
Audrey,"Audrey Satchivi, a senior from Carmel, Indiana","$18,800","J! Archive - Show #7860, aired 2018-11-09",Audrey Satchivi,a senior,"Carmel, Indiana",J! Archive - Show #7860,2018-11-09
Claire,"Claire Sattler, a senior from Bonita Springs, Florida","$16,999","J! Archive - Show #7860, aired 2018-11-09",Claire Sattler,a senior,"Bonita Springs, Florida",J! Archive - Show #7860,2018-11-09
Rotimi,"Rotimi Kukoyi, a freshman from Hoover, Alabama",$1,"J! Archive - Show #7859, aired 2018-11-08",Rotimi Kukoyi,a freshman,"Hoover, Alabama",J! Archive - Show #7859,2018-11-08
Isabella,"Isabella Pagano, a freshman from Libertyville, Illinois",$0,"J! Archive - Show #7859, aired 2018-11-08",Isabella Pagano,a freshman,"Libertyville, Illinois",J! Archive - Show #7859,2018-11-08
Caleb,"Caleb Richmond, a sophomore from Bedford, New Hampshire","$20,200","J! Archive - Show #7859, aired 2018-11-08",Caleb Richmond,a sophomore,"Bedford, New Hampshire",J! Archive - Show #7859,2018-11-08
Emma,"Emma Arnold, a junior from Owings Mills, Maryland","$18,400","J! Archive - Show #7858, aired 2018-11-07",Emma Arnold,a junior,"Owings Mills, Maryland",J! Archive - Show #7858,2018-11-07
Anish,"Anish Maddipoti, a junior from Austin, Texas","$3,600","J! Archive - Show #7858, aired 2018-11-07",Anish Maddipoti,a junior,"Austin, Texas",J! Archive - Show #7858,2018-11-07
Maya,"Maya Wright, a senior from Peachtree City, Georgia","$26,200","J! Archive - Show #7858, aired 2018-11-07",Maya Wright,a senior,"Peachtree City, Georgia",J! Archive - Show #7858,2018-11-07
Mary Ann,"Mary Ann Borer, a marketing coordinator from Pomona, California (whose 1-day cash winnings total $38,200)","$15,200","J! Archive - Show #7857, aired 2018-11-06",Mary Ann Borer,a marketing coordinator,"Pomona, California",J! Archive - Show #7857,2018-11-06
Lonnie,"Lonnie Weis, a creative director from Littleton, Colorado","$3,995","J! Archive - Show #7857, aired 2018-11-06",Lonnie Weis,a creative director,"Littleton, Colorado",J! Archive - Show #7857,2018-11-06
Chloe,"Chloe Sjuberg, a communications assistant from Vancouver, British Columbia, Canada",-$600,"J! Archive - Show #7857, aired 2018-11-06",Chloe Sjuberg,a communications assistant,"Vancouver, British Columbia, Canada",J! Archive - Show #7857,2018-11-06
Jonathan,"Jonathan Greenan, a human rights legal officer from Charlottetown, Prince Edward Island, Canada (whose 1-day cash winnings total $27,201)","$9,400","J! Archive - Show #7856, aired 2018-11-05",Jonathan Greenan,a human rights legal officer,"Charlottetown, Prince Edward Island, Canada",J! Archive - Show #7856,2018-11-05
Mary Ann,"Mary Ann Borer, a marketing coordinator from Pomona, California","$38,200","J! Archive - Show #7856, aired 2018-11-05",Mary Ann Borer,a marketing coordinator,"Pomona, California",J! Archive - Show #7856,2018-11-05
Gerald,"Gerald Dudley, a pub quiz host and writer from Jamaica Plain, Massachusetts",$0,"J! Archive - Show #7856, aired 2018-11-05",Gerald Dudley,a pub quiz host and writer,"Jamaica Plain, Massachusetts",J! Archive - Show #7856,2018-11-05
